,Title,Company,Salaire_annuel_moyen,Département,Titre/Data,Titre/Data Analyst,Titre/Data Scientist,Titre/Developpeur,Titre/Business Intelligence,Titre/Consultant,Titre/Senior,Titre/Engineer,Titre/freelance,Data Analyst,Data Scientist,Developpeur,Business Intelligence,Consultant,Senior,Debutant,Cadre,Engineer,big data,NLP,CDI,CDD,freelance,Bac+5,Bac+4,Bac+3,Bac+2,Python,Pyspark,Java,Julia,JavaScript,PHP,C++,SQL,NoSQL,AWS,Azure,Kafka,SQL Server,Machine_learning,deep_learning,English
0,Data Analyst H/F,ACII,40000.0,37,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,Data Analyst H/F,NOT SO DARK,45000.0,75,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,DATA ANALYST / SCIENTIST (H/F) / Freelance,FRISBEE PROFILING,400.0,94,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3,TRES URGENT - DATA ANALYST - 6 MOIS RECONDUCTIBLES - TELETRA...,ALLEGIS GROUP,475.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4,DATA ANALYST H/F,Clint & Associés,39000.0,75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Data Analyst H/F,Mediapart,45000.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6,Data Analyst H/F,CHRONOFRESH,37500.0,75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Chargé(e) d’études – Data Analyst – Data Scientist Junior,HOLOMNIS,38000.0,75,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Data Analyste Junior H/F (IT),BI NEWVISION,37000.0,75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Data Engineer analyst H/F,BEAH,57500.0,75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
